2009-10-19 05:06:52 status half-installed libvolume-id1 141-1
2009-10-19 05:06:52 status unpacked libvolume-id1 141-1
2009-10-19 05:06:52 status unpacked libvolume-id1 141-1
2009-10-19 05:06:52 install locales <none> 2.9+cvs20090214-7
2009-10-19 05:06:52 status half-installed locales 2.9+cvs20090214-7
2009-10-19 05:06:53 status unpacked locales 2.9+cvs20090214-7
2009-10-19 05:06:53 status unpacked locales 2.9+cvs20090214-7
2009-10-19 05:06:53 install login <none> 1:4.1.1-6ubuntu6
2009-10-19 05:06:53 status half-installed login 1:4.1.1-6ubuntu6
2009-10-19 05:06:54 status unpacked login 1:4.1.1-6ubuntu6
2009-10-19 05:06:54 status unpacked login 1:4.1.1-6ubuntu6
2009-10-19 05:06:54 install lsb-base <none> 3.2-20ubuntu4
2009-10-19 05:06:54 status half-installed lsb-base 3.2-20ubuntu4
2009-10-19 05:06:54 status unpacked lsb-base 3.2-20ubuntu4
2009-10-19 05:06:54 status unpacked lsb-base 3.2-20ubuntu4
2009-10-19 05:06:54 install lzma <none> 4.43-14ubuntu1
2009-10-19 05:06:54 status half-installed lzma 4.43-14ubuntu1
2009-10-19 05:06:54 status unpacked lzma 4.43-14ubuntu1
2009-10-19 05:06:54 status unpacked lzma 4.43-14ubuntu1
2009-10-19 05:06:54 install makedev <none> 2.3.1-88
2009-10-19 05:06:54 status half-installed makedev 2.3.1-88
2009-10-19 05:06:54 status unpacked makedev 2.3.1-88
2009-10-19 05:06:54 status unpacked makedev 2.3.1-88
2009-10-19 05:06:54 upgrade mawk 1.3.3-13ubuntu1 1.3.3-13ubuntu1
2009-10-19 05:06:54 status half-configured mawk 1.3.3-13ubuntu1
2009-10-19 05:06:54 status unpacked mawk 1.3.3-13ubuntu1
2009-10-19 05:06:54 status half-installed mawk 1.3.3-13ubuntu1
2009-10-19 05:06:54 status half-installed mawk 1.3.3-13ubuntu1
2009-10-19 05:06:54 status unpacked mawk 1.3.3-13ubuntu1
2009-10-19 05:06:54 status unpacked mawk 1.3.3-13ubuntu1
2009-10-19 05:06:54 install mktemp <none> 1.5-9
2009-10-19 05:06:54 status half-installed mktemp 1.5-9
2009-10-19 05:06:54 status unpacked mktemp 1.5-9
2009-10-19 05:06:54 status unpacked mktemp 1.5-9
2009-10-19 05:06:54 install mount <none> 2.14.2-1ubuntu4
2009-10-19 05:06:54 status half-installed mount 2.14.2-1ubuntu4
2009-10-19 05:06:54 status unpacked mount 2.14.2-1ubuntu4
2009-10-19 05:06:55 status unpacked mount 2.14.2-1ubuntu4
2009-10-19 05:06:55 install ncurses-base <none> 5.7+20090207-1ubuntu1
2009-10-19 05:06:55 status half-installed ncurses-base 5.7+20090207-1ubuntu1
2009-10-19 05:06:55 status unpacked ncurses-base 5.7+20090207-1ubuntu1
2009-10-19 05:06:55 status unpacked ncurses-base 5.7+20090207-1ubuntu1
2009-10-19 05:06:55 install ncurses-bin <none> 5.7+20090207-1ubuntu1
2009-10-19 05:06:55 status half-installed ncurses-bin 5.7+20090207-1ubuntu1
